timestamp,cpu_percent
1718192529.2159164,"[100.0, 9.2, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192530.2159157,"[100.0, 21.9, 3.1, 0.0, 9.5, 1.6, 4.7, 4.7, 0.0, 1.6, 0.0, 0.0]"
1718192531.2243297,"[100.0, 21.9, 1.6, 0.0, 1.5, 0.0, 0.0, 0.0, 6.2, 1.6, 1.6, 0.0]"
1718192532.2303293,"[100.0, 20.0, 0.0, 1.5, 4.7, 1.5, 3.1, 1.5, 1.5, 1.5, 1.5, 0.0]"
1718192533.2358546,"[100.0, 14.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0]"
1718192534.2503655,"[100.0, 9.2, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192535.2576835,"[100.0, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192536.266684,"[100.0, 7.7, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192537.2781749,"[100.0, 1.5, 0.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192538.2881742,"[100.0, 7.8, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192539.2948453,"[100.0, 7.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192540.3038447,"[100.0, 6.2, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192541.3124418,"[100.0, 10.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192542.3181949,"[100.0, 21.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192543.3281932,"[0.0, 98.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192544.332033,"[0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6, 0.0, 0.0, 0.0, 0.0]"
1718192545.3350322,"[1.6, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
